"STATION","NAME","DATE","TMAX"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-01","36"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-02","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-03","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-04","50"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-05","53"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-06","42"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-07","55"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-08","47"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-09","26"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-10","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-11","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-12","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-13","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-14","28"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-15","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-16","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-17","36"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-18","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-19","29"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-20","18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-21","15"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-22","36"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-23","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-24","23"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-25","7"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-26","13"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-27","12"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-28","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-29","11"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-30","-9"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-01-31","2"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-01","21"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-02","41"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-03","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-04","51"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-05","34"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-06","38"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-07","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-08","15"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-09","26"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-10","29"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-11","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-12","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-13","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-14","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-15","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-16","30"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-17","29"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-18","31"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-19","33"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-20","37"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-21","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-22","38"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-23","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-24","46"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-25","23"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-26","25"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-27","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-02-28","28"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-01","34"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-02","35"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-03","28"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-04","15"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-05","22"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-06","32"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-07","28"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-08","39"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-09","44"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-10","39"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-11","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-12","49"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-13","61"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-14","64"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-15","40"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-16","43"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","2019-03-17","45"
